id	t	x	y	z
Trace 446	3	-41031.275	40643.75	6132.09
Trace 446	4	-41025.425	40641.475	6129.84
Trace 446	5	-41019.0875	40645.05	6129.24
Trace 446	6	-41019.575	40646.1875	6125.96
Trace 446	7	-41016.325	40646.35	6124.9
Trace 446	8	-41016.4875	40648.3	6126.14
Trace 446	9	-41014.05	40647.975	6123.55
Trace 446	10	-41012.1	40648.7875	6123.39
Trace 446	11	-41012.5875	40648.1375	6125.42
Trace 446	12	-41012.9125	40649.4375	6123.17
Trace 446	13	-41022.6625	40645.2125	6123.75
Trace 446	14	-41009.9875	40649.7625	6123.98
Trace 446	15	-41009.3375	40650.25	6124.39
Trace 446	16	-41008.525	40649.275	6124.66
Trace 447	0	-41068.1625	40643.75	6138.53
Trace 447	1	-41067.675	40648.1375	6138.37
Trace 447	2	-41055.1625	40648.625	6135.84
Trace 447	3	-41062.6375	40646.5125	6132.09
Trace 448_1	1	-41116.5875	40753.6	6138.37
Trace 448_1	2	-41117.725	40750.025	6135.84
Trace 448_1	3	-41109.275	40750.675	6132.09
Trace 448_1	4	-41102.45	40756.525	6129.84
Trace 448_1	5	-41107	40753.6	6129.24
Trace 448_1	6	-41101.475	40750.5125	6125.96
Trace 448_1	7	-41096.1125	40750.8375	6124.9
Trace 449	0	-40813.0375	40636.4375	6138.53
Trace 449	1	-40812.3875	40635.3	6138.37
Trace 449	2	-40808.325	40634.65	6135.84
Trace 449	3	-40803.45	40635.1375	6132.09
Trace 449	4	-40799.3875	40635.625	6129.84
Trace 449	5	-40796.95	40636.4375	6129.24
Trace 449	6	-40794.35	40636.7625	6125.96
Trace 449	7	-40792.5625	40636.925	6124.9
Trace 449	8	-40791.5875	40636.7625	6126.14
Trace 449	9	-40790.775	40636.275	6123.55
Trace 449	10	-40789.3125	40635.1375	6123.39
Trace 449	11	-40788.175	40635.3	6125.42
Trace 449	12	-40787.0375	40635.4625	6123.17
Trace 449	13	-40786.225	40635.3	6123.75
Trace 449	14	-40786.0625	40635.4625	6123.98
Trace 449	15	-40785.575	40636.7625	6124.39
Trace 449	16	-40784.1125	40635.1375	6124.66
Trace 450	0	-41424.85	40617.75	6138.53
Trace 450	1	-41424.6875	40616.125	6138.37
Trace 450	2	-41423.225	40616.9375	6135.84
Trace 450	3	-41421.4375	40618.725	6132.09
Trace 450	4	-41419	40618.725	6129.84
Trace 450	5	-41416.2375	40617.2625	6129.24
Trace 450	6	-41411.525	40618.075	6125.96
Trace 450	7	-41410.875	40620.025	6124.9
Trace 450	8	-41410.225	40619.5375	6126.14
Trace 450	9	-41409.0875	40619.05	6123.55
Trace 450	10	-41408.6	40619.2125	6123.39
Trace 450	11	-41408.6	40618.725	6125.42
Trace 450	12	-41406.65	40619.2125	6123.17
Trace 450	13	-41407.3	40618.8875	6123.75
Trace 450	14	-41406	40619.375	6123.98
Trace 450	15	-41405.1875	40620.025	6124.39
Trace 450	16	-41403.725	40620.675	6124.66
Trace 451	0	-41374.9625	40599.0625	6138.53
Trace 451	1	-41373.9875	40598.25	6138.37
Trace 451	2	-41369.7625	40597.925	6135.84
Trace 451	3	-41364.075	40597.6	6132.09
Trace 451	4	-41360.3375	40597.275	6129.84
Trace 451	5	-41358.7125	40601.175	6129.24
Trace 451	6	-41354.975	40599.55	6125.96
Trace 451	7	-41351.8875	40599.0625	6124.9
Trace 451	8	-41350.425	40599.55	6126.14
Trace 451	9	-41351.5625	40601.0125	6123.55
Trace 451	10	-41351.075	40601.825	6123.39
Trace 451	11	-41350.425	40602.475	6125.42
Trace 451	12	-41349.45	40603.125	6123.17
Trace 451	13	-41349.125	40603.125	6123.75
Trace 451	14	-41349.125	40603.6125	6123.98
Trace 451	15	-41347.825	40605.075	6124.39
Trace 451	16	-41347.3375	40606.2125	6124.66
Trace 452	0	-40868.775	40574.85	6138.53
Trace 452	1	-40863.7375	40566.4	6138.37
Trace 452	2	-40859.8375	40573.55	6135.84
Trace 452	3	-40854.475	40574.0375	6132.09
Trace 452	4	-40849.7625	40575.0125	6129.84
Trace 452	5	-40846.35	40576.475	6129.24
Trace 452	6	-40841.8	40577.45	6125.96
Trace 452	7	-40837.575	40579.5625	6124.9
Trace 452	8	-40835.4625	40577.9375	6126.14
Trace 452	9	-40832.05	40579.8875	6123.55
Trace 452	10	-40831.8875	40582.1625	6123.39
Trace 452	11	-40831.725	40585.575	6125.42
Trace 452	12	-40832.7	40586.225	6123.17
Trace 452	13	-40831.8875	40588.175	6123.75
Trace 452	14	-40832.05	40590.2875	6123.98
Trace 452	15	-40830.9125	40592.5625	6124.39
Trace 452	16	-40829.45	40595.325	6124.66
Trace 453	0	-40808.4875	40562.6625	6138.53
Trace 453	1	-40807.1875	40561.3625	6138.37
Trace 453	2	-40801.3375	40563.9625	6135.84
Trace 453	3	-40798.4125	40562.6625	6132.09
Trace 454	0	-40784.925	40562.0125	6138.53
Trace 454	1	-40783.95	40560.55	6138.37
Trace 454	2	-40781.8375	40557.1375	6135.84
Trace 454	3	-40776.15	40553.5625	6132.09
Trace 454	4	-40783.3	40557.4625	6129.84
Trace 454	5	-40788.0125	40557.7875	6129.24
Trace 454	6	-40792.5625	40558.1125	6125.96
Trace 454	7	-40786.875	40559.575	6124.9
Trace 454	8	-40784.925	40558.1125	6126.14
Trace 454	9	-40780.05	40560.3875	6123.55
Trace 454	10	-40783.3	40551.6125	6123.39
Trace 454	11	-40782.975	40550.8	6125.42
Trace 454	12	-40783.625	40548.525	6123.17
Trace 454	13	-40772.4125	40548.6875	6123.75
Trace 455	0	-40872.8375	40552.5875	6138.53
Trace 455	1	-40872.1875	40545.7625	6138.37
Trace 455	2	-40867.9625	40545.4375	6135.84
Trace 455	3	-40865.2	40545.7625	6132.09
Trace 455	4	-40860	40546.7375	6129.84
Trace 455	5	-40857.075	40548.3625	6129.24
Trace 455	6	-40847.325	40548.0375	6125.96
Trace 455	7	-40843.425	40550.6375	6124.9
Trace 455	8	-40840.825	40550.475	6126.14
Trace 455	9	-40842.45	40549.3375	6123.55
Trace 455	10	-40842.775	40549.6625	6123.39
Trace 455	11	-40840.6625	40551.2875	6125.42
Trace 455	12	-40839.0375	40551.45	6123.17
Trace 455	13	-40841.15	40552.2625	6123.75
Trace 455	14	-40843.1	40554.05	6123.98
Trace 455	15	-40841.3125	40554.05	6124.39
Trace 455	16	-40841.15	40554.5375	6124.66
Trace 456	0	-41175.0875	40548.525	6138.53
Trace 456	1	-41174.925	40547.55	6138.37
Trace 456	2	-41171.5125	40546.0875	6135.84
Trace 456	3	-41169.2375	40540.2375	6132.09
Trace 456	4	-41168.2625	40539.2625	6129.84
Trace 456	5	-41171.1875	40536.6625	6129.24
Trace 456	6	-41171.025	40534.55	6125.96
Trace 456	7	-41173.3	40537.475	6124.9
Trace 456	8	-41172.8125	40537.8	6126.14
Trace 456	9	-41178.9875	40536.5	6123.55
Trace 456	10	-41180.125	40533.9	6123.39
Trace 456	11	-41172	40533.9	6125.42
Trace 457	0	-41137.7125	40546.575	6138.53
Trace 457	1	-41135.925	40546.25	6138.37
Trace 457	2	-41131.7	40545.6	6135.84
Trace 457	3	-41127.6375	40545.6	6132.09
Trace 457	4	-41125.6875	40545.275	6129.84
Trace 457	5	-41122.925	40545.275	6129.24
Trace 457	6	-41120.975	40545.7625	6125.96
Trace 457	7	-41119.8375	40546.575	6124.9
Trace 457	8	-41118.5375	40546.25	6126.14
Trace 457	9	-41117.5625	40546.7375	6123.55
Trace 457	10	-41116.75	40546.575	6123.39
Trace 457	11	-41115.9375	40547.875	6125.42
Trace 457	12	-41115.775	40548.0375	6123.17
Trace 457	13	-41115.775	40548.525	6123.75
Trace 457	14	-41115.45	40549.6625	6123.98
Trace 457	15	-41115.125	40549.175	6124.39
Trace 457	16	-41115.125	40549.175	6124.66
Trace 458	0	-40795.325	40539.9125	6138.53
Trace 458	1	-40790.9375	40536.175	6138.37
Trace 458	2	-40786.875	40537.3125	6135.84
Trace 458	3	-40785.25	40538.775	6132.09
Trace 458	4	-40778.5875	40537.3125	6129.84
Trace 458	5	-40776.6375	40539.2625	6129.24
Trace 458	6	-40781.025	40542.025	6125.96
Trace 458	7	-40775.175	40540.5625	6124.9
Trace 458	8	-40774.2	40539.9125	6126.14
Trace 458	9	-40774.3625	40541.5375	6123.55
Trace 459	0	-41233.2625	40537.8	6138.53
Trace 459	1	-41233.1	40538.125	6138.37
Trace 459	2	-41228.225	40537.3125	6135.84
Trace 459	3	-41224.8125	40536.6625	6132.09
Trace 459	4	-41221.4	40536.6625	6129.84
Trace 459	5	-41217.9875	40538.2875	6129.24
Trace 459	6	-41216.0375	40538.775	6125.96
Trace 459	7	-41214.0875	40538.775	6124.9
Trace 459	8	-41212.625	40538.45	6126.14
Trace 459	9	-41213.7625	40538.45	6123.55
Trace 459	10	-41213.925	40537.8	6123.39
Trace 459	11	-41212.3	40538.6125	6125.42
Trace 459	12	-41212.1375	40537.8	6123.17
Trace 459	13	-41213.275	40539.5875	6123.75
Trace 459	14	-41212.95	40538.9375	6123.98
Trace 459	15	-41210.1875	40538.45	6124.39
Trace 459	16	-41212.95	40539.5875	6124.66
Trace 460	0	-41044.4375	40518.1375	6138.53
Trace 460	1	-41042.975	40520.7375	6138.37
Trace 460	2	-41030.7875	40520.25	6135.84
Trace 460	3	-41020.0625	40526.5875	6132.09
Trace 460	4	-41015.5125	40529.675	6129.84
Trace 460	5	-41012.425	40532.925	6129.24
Trace 460	6	-41010.8	40531.95	6125.96
Trace 460	7	-41013.4	40533.7375	6124.9
Trace 460	8	-41012.2625	40532.275	6126.14
Trace 460	9	-41011.2875	40530.975	6123.55
Trace 460	10	-41012.5875	40527.075	6123.39
Trace 460	11	-41009.0125	40530.325	6125.42
Trace 460	12	-41005.925	40530.325	6123.17
Trace 460	13	-41006.25	40531.1375	6123.75
Trace 460	14	-41005.6	40530.8125	6123.98
Trace 460	15	-41007.875	40529.8375	6124.39
Trace 460	16	-41004.4625	40529.025	6124.66
Trace 461	0	-41204.825	40516.35	6138.53
Trace 461	1	-41202.7125	40516.35	6138.37
Trace 461	2	-41198	40515.05	6135.84
Trace 461	3	-41194.75	40514.725	6132.09
Trace 461	4	-41189.3875	40516.35	6129.84
Trace 461	5	-41188.7375	40515.05	6129.24
Trace 461	6	-41187.4375	40517	6125.96
Trace 461	7	-41185.975	40517.325	6124.9
Trace 461	8	-41181.2625	40517.1625	6126.14
Trace 461	9	-41178.6625	40516.5125	6123.55
Trace 461	10	-41177.3625	40516.025	6123.39
Trace 461	11	-41176.875	40518.7875	6125.42
Trace 461	12	-41170.7	40521.225	6123.17
Trace 461	13	-41171.5125	40525.45	6123.75
Trace 461	14	-41174.4375	40522.525	6123.98
Trace 461	15	-41172.65	40520.25	6124.39
Trace 461	16	-41172.325	40520.7375	6124.66
Trace 462_2	2	-40864.0625	40559.0875	6135.84
Trace 462_2	3	-40859.1875	40559.25	6132.09
Trace 462_2	4	-40855.9375	40561.6875	6129.84
Trace 462_2	5	-40853.0125	40562.825	6129.24
Trace 462_2	6	-40850.25	40564.2875	6125.96
Trace 462_2	7	-40848.4625	40565.2625	6124.9
